1406.9028540505751 1.0  0.0 inf
1406.916454097683 1.0  0.0 inf
1406.9300491546844 1.0  0.0 inf
1406.9436392225532 1.0  0.0 inf
1406.9572243022633 1.0  0.0 inf
1406.9708043947885 1.0  0.0 inf
1406.9843795011022 1.0  0.0 inf
1406.9979496221788 1.0  0.0 inf
1407.011514758992 1.0  0.0 inf
1407.0250749125155 1.0  0.0 inf
1407.038630083723 1.0  0.0 inf
1407.052180273589 1.0  0.0 inf
1407.0657254830865 1.0  0.0 inf
1407.0792657131897 1.0  0.0 inf
1407.092800964872 1.0  0.0 inf
1407.1063312391084 1.0  0.0 inf
1407.1198565368718 1.0  0.0 inf
1407.1333768591358 1.0  0.0 inf
1407.1468922068748 1.0  0.0 inf
1407.1604025810625 1.0  0.0 inf
1407.1739079826723 1.0  0.0 inf
1407.1874084126791 1.0  0.0 inf
1407.2009038720555 1.0  0.0 inf
1407.2143943617762 1.0  0.0 inf
1407.2278798828145 1.0  0.0 inf
1407.2413604361443 1.0  0.0 inf
1407.2548360227397 1.0  0.0 inf
1407.2683066435743 1.0  0.0 inf
1407.2817722996222 1.0  0.0 inf
1407.295232991857 1.0  0.0 inf
1407.3086887212523 1.0  0.0 inf
1407.3221394887828 1.0  0.0 inf
1407.3355852954212 1.0  0.0 inf
1407.349026142142 1.0  0.0 inf
1407.3624620299188 1.0  0.0 inf
1407.3758929597257 1.0  0.0 inf
1407.3893189325363 1.0  0.0 inf
1407.4027399493243 1.0  0.0 inf
1407.416156011064 1.0  0.0 inf
1407.4295671187288 1.0  0.0 inf
1407.4429732732929 1.0  0.0 inf
1407.4563744757295 1.0  0.0 inf
1407.4697707270132 1.0  0.0 inf
1407.483162028117 1.0  0.0 inf
1407.4965483800154 1.0  0.0 inf
1407.5099297836823 1.0  0.0 inf
1407.523306240091 1.0  0.0 inf
1407.5366777502156 1.0  0.0 inf
1407.55004431503 1.0  0.0 inf
1407.5634059355075 1.0  0.0 inf
1407.5767626126228 1.0  0.0 inf
1407.5901143473493 1.0  0.0 inf
1407.6034611406608 1.0  0.0 inf
1407.6168029935309 1.0  0.0 inf
1407.630139906934 1.0  0.0 inf
1407.6434718818432 1.0  0.0 inf
1407.656798919233 1.0  0.0 inf
1407.670121020077 1.0  0.0 inf
1407.683438185349 1.0  0.0 inf
1407.6967504160227 1.0  0.0 inf
1407.7100577130725 1.0  0.0 inf
1407.7233600774712 1.0  0.0 inf
1407.7366575101937 1.0  0.0 inf
1407.7499500122128 1.0  0.0 inf
1407.7632375845033 1.0  0.0 inf
1407.7765202280386 1.0  0.0 inf
1407.7897979437923 1.0  0.0 inf
1407.8030707327384 1.0  0.0 inf
1407.8163385958514 1.0  0.0 inf
1407.829601534104 1.0  0.0 inf
1407.8428595484706 1.0  0.0 inf
1407.8561126399252 1.0  0.0 inf
1407.869360809441 1.0  0.0 inf
1407.8826040579927 1.0  0.0 inf
1407.8958423865536 1.0  0.0 inf
1407.909075796097 1.0  0.0 inf
1407.9223042875983 1.0  0.0 inf
1407.93552786203 1.0  0.0 inf
1407.948746520366 1.0  0.0 inf
1407.9619602635807 1.0  0.0 inf
1407.9751690926475 1.0  0.0 inf
1407.9883730085403 1.0  0.0 inf
1408.0015720122333 1.0  0.0 inf
1408.0147661047 1.0  0.0 inf
1408.0279552869142 1.0  0.0 inf
1408.0411395598496 1.0  0.0 inf
1408.0543189244804 1.0  0.0 inf
1408.0674933817804 1.0  0.0 inf
1408.0806629327233 1.0  0.0 inf
1408.0938275782826 1.0  0.0 inf
1408.1069873194324 1.0  0.0 inf
1408.120142157147 1.0  0.0 inf
1408.1332920923996 1.0  0.0 inf
1408.1464371261643 1.0  0.0 inf
1408.1595772594146 1.0  0.0 inf
1408.172712493125 1.0  0.0 inf
1408.1858428282685 1.0  0.0 inf
1408.1989682658195 1.0  0.0 inf
1408.2120888067516 1.0  0.0 inf
1408.2252044520392 1.0  0.0 inf
1408.238315202655 1.0  0.0 inf
1408.251421059574 1.0  0.0 inf
1408.2645220237694 1.0  0.0 inf
1408.2776180962148 1.0  0.0 inf
1408.2907092778844 1.0  0.0 inf
1408.3037955697523 1.0  0.0 inf
1408.3168769727918 1.0  0.0 inf
1408.329953487977 1.0  0.0 inf
1408.3430251162818 1.0  0.0 inf
1408.3560918586795 1.0  0.0 inf
1408.369153716145 1.0  0.0 inf
1408.3822106896512 1.0  0.0 inf
1408.395262780172 1.0  0.0 inf
1408.4083099886816 1.0  0.0 inf
1408.4213523161538 1.0  0.0 inf
1408.4343897635622 1.0  0.0 inf
1408.4474223318805 1.0  0.0 inf
1408.4604500220828 1.0  0.0 inf
1408.473472835143 1.0  0.0 inf
1408.4864907720346 1.0  0.0 inf
1408.4995038337318 1.0  0.0 inf
1408.5125120212083 1.0  0.0 inf
1408.5255153354376 1.0  0.0 inf
1408.5385137773942 1.0  0.0 inf
1408.5515073480517 1.0  0.0 inf
1408.564496048383 1.0  0.0 inf
1408.5774798793632 1.0  0.0 inf
1408.5904588419655 1.0  0.0 inf
